lower_boundaries,upper_boundaries,alphabets
-4.009750068187714,2.807326399789741,A
2.807326399789741,5.690891179420766,B
5.690891179420766,8.126816914496008,C
8.126816914496008,10.118091870769364,D
10.118091870769364,11.829282282534866,E
11.829282282534866,13.408259811636636,F
13.408259811636636,14.722385598266225,G
14.722385598266225,15.878876249089982,H
15.878876249089982,16.91440965314373,I
16.91440965314373,17.879026602314745,J
17.879026602314745,18.904558355979198,K
18.904558355979198,20.087671275595206,L
20.087671275595206,21.572947687760767,M
21.572947687760767,23.857321860410316,N
23.857321860410316,27.43171879319285,O
27.43171879319285,31.752605272703377,P
31.752605272703377,36.69279733390198,Q
36.69279733390198,44.44175052642822,R
